word,meaning,correct,note,category
consultative,咨询的,/kənˈsʌltətɪv/,,形容词
severity,严重性,/sɪˈverəti/,用于表达事故的严重程度,名词
concurrent,并发的，同时发生的,/kənˈkɜːrənt/,,形容词
mechanism,机制，原理,/ˈmekənɪzəm/,,名词
intrusive,侵入式的,/ɪnˈtruːsɪv/,,形容词
permutation,排序,/ˌpɜːrmjuˈteɪʃn/,,名词
confidentiality,保密性,/ˌkɑːnfɪˌdenʃiˈæləti/,,名词
replica,复制物,/ˈreplikə/,,名词
comma,逗号,/ˈkɑːmə/,""",""",符号
anomaly,异常，反常事物,/əˈnɑːməli/,,名词
semicolon,分号,/ˈsemikoʊlən/,""";""",符号
standalone,单独的,/ˈstændəˌləun/,,形容词
GUI,图形用户界面,/null/,Graphical User Interface,缩写
bandwidth,带宽，多余时间（人力）,/ˈbændwɪdθ/,后者意思是咨询有没有足够的资源或时间来完成某件事情,名词
elastic,灵活有弹性的,/ɪˈlæstɪk/,AWS Elastic Compute Cloud (EC2) 有「弹性、伸缩性」的特点,形容词
BIOS,基本输入输出系统,/null/,Basic Input Output System,缩写
threshold,阈值,/ˈθreʃhoʊld/,,名词
ratify,批准，认可,/ˈrætɪfaɪ/,,动词
architecture,架构,/ˈɑːrkɪtektʃər/,,名词
dollar sign,美元符号,/null/,"""$""",符号
provision,规定；预备；准备,/prəˈvɪʒn/,例如对UFS设备进行provision，分区、划分LUN等操作,名词
thrilled,非常兴奋的,/θrɪld/,,形容词
efficiency,效率,/ɪˈfɪʃnsi/,,名词
descent,下降，降序,/dɪˈsent/,,名词
impression,曝光,/ɪmˈpreʃn/,,名词
permanent,永久的,/ˈpɜːrmənənt/,,形容词
retrospective,追溯的、回顾的、复盘的,/ˌretrəˈspektɪv/,,形容词
constraint,约束,/kənˈstreɪnt/,,名词
semantic,语义的,/sɪˈmæntɪk/,,形容词
scalability,可扩展性,/ˌskeɪləˈbɪləti/,,名词
seamless,无缝的,/ˈsiːmləs/,,形容词
strangler pattern,绞杀者模式,/null/,通过将特定的功能片断逐渐取代为新的应用程序和服务，逐步迁移旧系统。 随着旧系统的功能被替换，新系统最终将取代旧系统的所有功能，抑制旧系统并使其停用。,词组
sophisticated,复杂的、富有经验的,/səˈfɪstɪkeɪtɪd/,,形容词
degradation,降级,/ˌdeɡrəˈdeɪʃn/,,名词
redundancy,冗余，多余,/rɪˈdʌndənsi/,,名词
less than,小于号,/null/,"""<""",符号
capacity,能力、容量,/kəˈpæsəti/,,名词
compliance,合规,/kəmˈplaɪəns/,,名词
stroke,笔画,/stroʊk/,,名词
integration,集成，整合,/ˌɪntɪˈɡreɪʃn/,,名词
square brackets,方括号,/null/,"""[ ]""",符号
failback,自动恢复,/null/,在簇（Data Cluster）网络系统中，由于某台服务器要进行维修，需要网络资源和服务暂时重定向到备用系统。在此之后将网络资源和服务器恢复为由原始主机提供的过程，称为自动恢复,名词
throughput,吞吐量,/ˈθruːpʊt/,,名词
indecisive,犹豫不决的,/ˌindi'saisiv/,,形容词
accordion,可折叠的，褶叠的,/əˈkɔːrdiən/,设计中可以通过点击按钮将内容折叠或展开,形容词
monetize,货币化,/ˈmɑːnɪtaɪz/,将产品货币化，通过产品赚钱,动词
inherit,继承,/ɪnˈherɪt/,,动词
critical,关键的，重要的，批评的,/ˈkrɪtɪkl/,,形容词
incentive,激励的，刺激的,/ɪnˈsentɪv/,,形容词
delivery,交付,/dɪˈlɪvəri/,,名词
strength,优势,/streŋkθ/,,名词
false positive,假阳性,/null/,当你真的没有的时候，别人却说你有。,词组
right arrow,向右箭头,/null/,"""→""",符号
explicit,明确清楚的,/ɪkˈsplɪsɪt/,,形容词
undertake,承担,/ˌʌndərˈteɪk/,,动词
takeaway,收获、学到什么,/ˈteɪkəweɪ/,,名词
capture,捕捉、抓取,/ˈkæptʃər/,,动词
sustainable,可持续的,/səˈsteɪnəbl/,,形容词
intervention,介入、干涉,/ˌɪntərˈvenʃn/,,名词
cluster,集群,/ˈklʌstər/,,名词
tenancy,租期,/ˈtenənsi/,,名词
encryption,加密,/ɪnˈkrɪpʃn/,,名词
optimize,优化,/ˈɑːptɪmaɪz/,,动词
significant,重大的，有意义的,/sɪɡˈnɪfɪkənt/,,形容词
fault tolerance,,/null/,,词组
permission,权限,/pəˈmɪʃn/,,名词
subsequent,随后的、之后的,/ˈsʌbsɪkwənt/,,形容词
colon,冒号,/ˈkoʊlən/,""":""",符号
exclamation mark,惊叹号，感叹号,/ˌekskləˈmeɪʃn/,"""!""",符号
deprecated,弃用的,/ˈdɛprəˌketɪd/,,形容词
aspect,方面，方向,/ˈæspekt/,,名词
mutable,可变的,/ˈmjuːtəbl/,,形容词
automation,自动化,/ˌɔːtəˈmeɪʃn/,,名词
magnetic storage,磁储存,/null/,,词组
decouple,解耦，使分离,/diːˈkʌpl/,,动词
evaluation,评价，计算,/ɪˌvæljuˈeɪʃn/,,名词
priority,优先次序,/praɪˈɔːrəti/,,名词
scheduler,时间调度程序,/ˈskedʒuːlər/,,名词
backslash,反斜线,/ˈbækslæʃ/,"""\\""",符号
declarative,声明式,/dɪˌkler.ə.t̬ɪv/,,形容词
consumption,消耗,/kənˈsʌmpʃn/,,名词
underscore,下划线,/ˌʌndərˈskɔːr/,"""_""",符号
complexity,复杂性,/kəmˈpleksəti/,,名词
double quotation mark,双引号,/null/,"'""'",符号
minus,减号,/ˈmaɪnəs/,"""-""",符号
respective,分别的，各自的,/rɪˈspektɪv/,,形容词
implicit,含蓄的、含糊不清的,/ɪmˈplɪs.ɪt/,浅显好过隐晦(Explicit is better than implicit),形容词
failover,失效转移,/feilˈəuvər/,即当 A 无法为客户服务时，系统能够自动地切换，使 B 能够及时地顶上继续为客户提供服务，且客户感觉不到这个为他提供服务的对象已经更换,名词
equal,等于号,/ˈiːkwəl/,"""=""",符号
catastrophic failover,灾难性故障转移,/null/,,词组
mitigate,减轻，缓和,/ˈmɪtɪɡeɪt/,,动词
authentication,身份验证,/ɔːˌθentɪˈkeɪʃn/,,名词
analyze,分析,/ˈænəlaɪz/,,动词
slash,斜线号,/slæʃ/,"""／""",符号
recursion,递归,/rɪˈkɜːrʒn/,,名词
UAT,用户验收测试,/null/,User Acceptance Testing,缩写
parenthesis,圆括号,/pəˈrenθəsɪs/,"""( )""",符号
